epno,time,tstart,tend,instance,bit,elucidation,soundcloud_url,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug,location_type,location_id,slug_earwolf,id_wikia
108,,1:02:49,1:03:01,the most popular feature of CBB,"no stats, but Scott believes it",Consistently the most popular feature of CBB.,,Dov Charney,,,,,,,pussy-cpr,,,pussy-cpr,2944
109,,58:47:00,59:10:00,classic WYR blunder: premature election,Andy and Bro both get dangerously close.,one of several potential WYR blunders,,Bro,,,,,,,the-andy-samberg-special,,,the-andy-samberg-special,2952
109,,31:42:00,32:23:00,i can hear every word you are saying,Bro overhears Scott and Andy.,"despite everybody's best efforts, a private conversation is overheard",,Bro,,,,,,,the-andy-samberg-special,,,the-andy-samberg-special,2952
11,,48:49:00,49:07:00,Osama bin Laden's in the zeitgeist,Rob Huebel's aggression reminds Scott of Officer Dick Butterfield (Huebel).,"Somebody's characters cross-pollinate, curiously share characteristics.",,Officer Dick Butterfield,,,,,,,birthday-checks,,,birthday-checks,2425
11,,55:54:00,56:28:00,bet me a frapp,Doug Benson can't seem to remember something.,someone has to be forced into their bit,,,,,,,,,birthday-checks,,,birthday-checks,2425
14,,20:02,20:40,Location,Danny Mahoney walked into Nordstrom and asked for their heaviest coat,Identifiable earth location.,,Danny Mahoney,,,,,,,an-old-fashioned-dinner,point,17,an-old-fashioned-dinner,2440
14,,49:18:00,49:43:00,Location,Comedian Shooter fires off a local reference - La Brea onto Franklin Av,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,18,an-old-fashioned-dinner,2440
14,,50:17:00,50:33:00,Location,Comedian Shooter fires off a local reference - beautiful ladies at The Grove,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,13,an-old-fashioned-dinner,2440
14,,50:40:00,51:10:00,Location,Comedian Shooter fires off a local reference - the girl in the glass display case at The Standard hotel,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,20,an-old-fashioned-dinner,2440
14,,51:31:00,51:51:00,Location,Comedian Shooter fires off a local reference - Shooter's place smelled like Runyan Canyon when he returned from vacation,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,22,an-old-fashioned-dinner,2440
14,,51:31:00,51:56:00,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,23,an-old-fashioned-dinner,2440
14,,51:31:00,51:56:00,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,24,an-old-fashioned-dinner,2440
14,,52:08:00,53:04:00,Location,Comedian Shooter fires off a local reference - asked a French guy how to say 'shitty service' in French.,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,point,25,an-old-fashioned-dinner,2440
14,,51:31:00,51:38:00,Location,Comedian Shooter vacations in San Diego,Identifiable earth location.,,Shooter,,,,,,,an-old-fashioned-dinner,poly,63,an-old-fashioned-dinner,2440
14,,9:53,10:54,boo,Andy Daly is neither host nor guest. Ghost.,Someone is confused about whether somebody else is haunting or heckling.,,,,,,,,,an-old-fashioned-dinner,,,an-old-fashioned-dinner,2440
13,,40:39:00,41:26:00,Ice T has a cold,"Ice T maybe has a cold, actually.",somebody gets emotional,,Ice T,,,,,,,jimmy-pardos-back,,,jimmy-pardos-back,2439
11,,37:57:00,38:12:00,Weirder Scott,Scott describes his coup of Weird Al Yankovic.,Scott's pop parodist alter ego,,,,,,,,,birthday-checks,,,birthday-checks,2425
113,,57:07:00,57:51:00,how many are there?,Old ska bands.,a pimping subclass: somebody asks for a list of things or prompts for additional items,,Ozzie Patinkin,,,,,,,skanking-hayride,,,skanking-hayride,2985
115,,51:12:00,51:37:00,classic WYR blunder: the floor is not yet open,David Wain jumps the start.,one of several potential WYR blunders,,,,,,,,,the-plug-in-drug,,,the-plug-in-drug,2989
115,,25:12:00,25:15:00,my wife!,Respectfully.,Scott has a Borat.,,,,,,,,,the-plug-in-drug,,,the-plug-in-drug,2989
115,,49:40:00,49:54:00,awesome and holy traitors to you,A fountain is not dripping.,someone needs the services of a tear basin,,,,,,,,,the-plug-in-drug,,,the-plug-in-drug,2989
116,,55:16:00,55:21:00,where are you from?,Scott wants to know what year Wompler's mom was born.,a character detail is challenged or prompted,,Marissa Wompler,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
116,,1:09:27,1:09:38,classic WYR blunder: premature election,Wompler should know better.,one of several potential WYR blunders,,Marissa Wompler,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
116,,45:53:00,46:03:00,Amy Poehler is rude,Cross is rude.,some asshole talks over the wyr theme.,,Sam Darling,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
116,,45:45:00,45:50:00,Amy Poehler is rude,FLeischer is rude.,some asshole talks over the wyr theme.,,Sam Darling,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
116,,46:06:00,46:16:00,Amy Poehler is rude,Sam Darling has no respect.,some asshole talks over the wyr theme.,,Sam Darling,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
116,,37:54:00,38:09:00,awesome and holy traitors to you,Todd Glass gets accepted for who he is.,someone needs the services of a tear basin,,Marissa Wompler,,,,,,,when-i-go-to-queens,,,when-i-go-to-queens,2940
119,,1:06:52,1:07:00,boo,Jacobs 'haunts' Paul F. Tompkins,Someone is confused about whether somebody else is haunting or heckling.,,Andi Callahan,,,,,,,andi-callahan-rn,,,andi-callahan-rn,2999
119,,17:54,18:01,who?,Andi Callahan doesn't recall Save Ferris,Someone seems to not know an obvious reference or a very famous person.,,Andi Callahan,,,,,,,andi-callahan-rn,,,andi-callahan-rn,2999
119,,17:03,17:14,who?,Scott doesn't know 'Hooray for Hollywood',Someone seems to not know an obvious reference or a very famous person.,,Andi Callahan,,,,,,,andi-callahan-rn,,,andi-callahan-rn,2999
122,,18:33,18:37,who?,Warner Herzog doesn't (but does) know who Zach Galifianakis is.,Someone seems to not know an obvious reference or a very famous person.,,Werner Herzog,,,,,,,shanghaied-by-irene,,,shanghaied-by-irene,3003
120,,25:12:00,25:28:00,who am i?,Jack Sjunior loses his vernacular.,a character loses him/herself,,"Jack Sjunior,Bryan Spieces",,,,,,,farts-and-procreation,,,farts-and-procreation,2186
122,,51:49:00,52:00:00,i have a question,Werner Herzog gets it right this time.,Someone (usually Tompkins) is out of the gate fast on WYR.,,Werner Herzog,,,,,,,shanghaied-by-irene,,,shanghaied-by-irene,3003
122,,51:19:00,51:45:00,i have a question,Werner Herzog jumps the gun.,Someone (usually Tompkins) is out of the gate fast on WYR.,,Werner Herzog,,,,,,,shanghaied-by-irene,,,shanghaied-by-irene,3003
122,,57:17:00,57:26:00,i have a question,Werner Herzog strikes the second the floor is re-opened.,Someone (usually Tompkins) is out of the gate fast on WYR.,,Werner Herzog,,,,,,,shanghaied-by-irene,,,shanghaied-by-irene,3003
123,,58:06:00,58:24:00,how much money do you make?,Scott asks Amy Poehler for Rob Lowe's address.,Scott asks an inappropriately personal question.,,David Fiene,,,,,,,no-scoop-for-you,,,no-scoop-for-you,3006
123,,52:08:00,52:12:00,shut the fuck up!,Poehler and The Bangles won't shut up.,Someone simply wants everyone else to shut the fuck up.,,David Fiene,,,,,,,no-scoop-for-you,,,no-scoop-for-you,3006
123,,52:05:00,52:12:00,Amy Poehler is rude,Amy Poehler is rude.,some asshole talks over the wyr theme.,,David Fiene,,,,,,,no-scoop-for-you,,,no-scoop-for-you,3006
123,,1:06:19,1:06:48,Amy Poehler is rude,Poehler and Fiene don't learn well.,some asshole talks over the wyr theme.,,David Fiene,,,,,,,no-scoop-for-you,,,no-scoop-for-you,3006
123,,1:07:04,1:07:14,Amy Poehler is rude,Scott's never had a guest so rude as Amy Poehler.,some asshole talks over the wyr theme.,,David Fiene,,,,,,,no-scoop-for-you,,,no-scoop-for-you,3006
126,,1:17:18,1:17:28,"5, 4, 3, nose, 1",Countdown to Tony Danza vs. the M*A*S*H Laugh during WYR,the CBB countdown,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:17:29,1:17:46,please call me Garry,"Scott waits a beat, but it's obvious.",Garry Marshall demands respect (or bestows familiarity).,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:27:39,1:27:50,please call me Garry,Garry Marshall sets himself up.,Garry Marshall demands respect (or bestows familiarity).,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:14:42,1:14:53,please call me Garry,Jon Hamm can use 'Garry.',Garry Marshall demands respect (or bestows familiarity).,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:17:10,1:17:16,please call me Garry,Scott back to 'Garry.',Garry Marshall demands respect (or bestows familiarity).,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:03:45,1:04:14,please call me Garry,This all started because Scott called Nick Lowe 'Mr. Lowe.',Garry Marshall demands respect (or bestows familiarity).,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:06:18,1:06:31,i have a question,Garry Marshall gets the holeshot on Jon Hamm.,Someone (usually Tompkins) is out of the gate fast on WYR.,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
126,,1:21:32,1:22:12,highly unorthodox,Garry Marshall cedes to PFT.,"Somebody cedes their plug time to (usually, maybe always) Paul F. Tompkins.",,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
127,,1:00:41,1:01:28,how many are there?,"Scott challenges Nic Cage's brother, Bob, to name additional ingredients for pizza.",a pimping subclass: somebody asks for a list of things or prompts for additional items,,Bob Cage,,,,,,,national-pleasure,,,national-pleasure,3014
126,,53:39:00,54:13:00,this nebbish over here,Jon Hamm kinda doubts Garry Marshall is Italian.,Garry Marshall's ethnicity is questioned.,,Garry Marshall,,,,,,,suicide-is-painless,,,suicide-is-painless,3012
128,,4:18,4:26,how much money do you make?,Scott asks Jon Heder for his home address,Scott asks an inappropriately personal question.,,,,,,,,,coach-coach-coach,,,coach-coach-coach,3020
128,,9:37,9:44,awesome and holy traitors to you,Jon Heder is gonna play it on the What Am I Thinking remix.,someone needs the services of a tear basin,,,,,,,,,coach-coach-coach,,,coach-coach-coach,3020
131,,1:14:39,1:14:43,"5, 4, 3, nose, 1",Jason and Scott try to guess the one thing they each dream about every night.,the CBB countdown,,Chip Gardner,,,,,,,mayor-of-hollywood,,,honorary-mayor-of-hollywood,2992
131,,23:03,23:13,shut the fuck up!,Jason and Scott need Chip to shut the fuck up for one second,Someone simply wants everyone else to shut the fuck up.,,Chip Gardner,,,,,,,mayor-of-hollywood,,,honorary-mayor-of-hollywood,2992
131,,18:19,18:35,who?,Jason Mantzoukas doesn't know what The Rolling Stones is.,Someone seems to not know an obvious reference or a very famous person.,,Chip Gardner,,,,,,,mayor-of-hollywood,,,honorary-mayor-of-hollywood,2992
132,,1:06:32,1:06:50,classic WYR blunder: the floor is not yet open,David Wain is eager to know if the sycamore has an IUD.,one of several potential WYR blunders,,Dov Charney,,,,,,,occupy-thanksgiving,,,occupy-thanksgiving,3027
132,,1:05:00,1:05:18,Amy Poehler is rude,David Wain thinks sometimes that the song is the game. He says.,some asshole talks over the wyr theme.,,Dov Charney,,,,,,,occupy-thanksgiving,,,occupy-thanksgiving,3027
135,,35:24:00,35:55:00,"5, 4, 3, nose, 1",Scott counts down to CB's explanation of how he no longer loves Thanksgiving.,the CBB countdown,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:04:14,1:04:20,Cake Boss!,Cake Murder!,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:02:53,1:03:02,Cake Boss!,CB assumes 'DJ' stands for 'Disc Jockey' and is correct.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,36:12:00,36:26:00,Cake Boss!,CB does himself.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,36:40:00,36:48:00,Cake Boss!,CB narrates.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:11:04,1:11:10,Cake Boss!,How do you like to vote?,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,45:54:00,46:06:00,Cake Boss!,CB snoozes.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:06:09,1:06:12,Cake Boss!,I have a question.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:06:09,1:06:12,Cake Boss!,I have a question.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,29:04:00,29:27:00,Cake Boss!,Infinite loop.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:08:54,1:09:03,Cake Boss!,I have a question.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,34:29:00,34:40:00,Cake Boss!,Missed one.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,35:08:00,35:10:00,Cake Boss!,Scott needs CB's attention to ask a very important question.,Cake Boss is compelled to cite himself.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,59:33:00,59:51:00,classic WYR blunder: the floor is not yet open,CB calls out Erinn Hayes.,one of several potential WYR blunders,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,41:55:00,42:03:00,Marrone!,CB curses in English.,Cake Boss' favorite expletive and/or a Mark Maron reference. Often the same.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,41:35:00,41:44:00,Marrone!,CB gets aggro.,Cake Boss' favorite expletive and/or a Mark Maron reference. Often the same.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,29:38:00,29:52:00,Marrone!,CB had forgotten.,Cake Boss' favorite expletive and/or a Mark Maron reference. Often the same.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,1:04:42,1:04:45,Marrone!,I have a question.,Cake Boss' favorite expletive and/or a Mark Maron reference. Often the same.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,31:43:00,31:55:00,Marrone!,Scott and Cake speak Italian to each other.,Cake Boss' favorite expletive and/or a Mark Maron reference. Often the same.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
135,,59:03:00,59:25:00,my wife!,CB won a bet with his wife about the Question Floor.,Scott has a Borat.,,Cake Boss,,,,,,,scavenge-and-the-wisemen,,,scavenge-and-the-wisemen,3033
136,,20:02,20:52,Foam Cor â€“,There's not much else you can do.,The Foam Corner ends abruptly.,,,,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
136,,1:34:43,1:34:48,huh?,Ducca walks in on freestyle rap battle.,Bob Ducca's Catchphrase,,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
136,,1:39:00,1:39:05,huh?,Ducca walks in on freestyle rap battle.,Bob Ducca's Catchphrase,,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
136,,1:42:00,1:42:19,huh?,Ducca wishes he had a catchphrase.,Bob Ducca's Catchphrase,,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
136,,1:43:58,1:44:09,huh?,What happened to Ducca's back?,Bob Ducca's Catchphrase,,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
136,,1:49:10,1:49:15,M*A*S*H,9/11 got a better rating than M.A.S.H.,MASH is cited as a notable tv event.,,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca,Jesse Ventura",,,,,,,2011-holiday-spectacular,,,2011-holiday-spectacular,3034
137,,2:05:42,2:05:58,"5, 4, 3, nose, 1","On Thursday, this is how they'll probably count down.",the CBB countdown,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,2:03:34,2:03:49,"5, 4, 3, nose, 1",Scott and PFT try to simultaneously wish for something.,the CBB countdown,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,36:10:00,36:18:00,by Mennen,Best of 2011 countdown bumpers are replaced.,The Mennen jingle is referenced.,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,2:04:12,2:04:26,by Mennen,Jitterbug piece of shit. By Mennen.,The Mennen jingle is referenced.,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,1:34:44,1:34:49,by Mennen,Now the Bonus Clip tag.,The Mennen jingle is referenced.,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,8:00,8:05,by Mennen,White Rabbit's coda.,The Mennen jingle is referenced.,,,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,35:22:00,35:40:00,the biggest creep in the world,By popular demand -- Beatles characters.,John Lennon impressions,,John Lennon,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137,,37:26:00,37:32:00,the biggest creep in the world,John Lennon lingers in-studio.,John Lennon impressions,,John Lennon,,,,,,,best-of-2011-pt-1,,,best-of-2011-pt-1,3016
137.5,,50:13:00,50:17:00,b-b-b-b-b-boooooonus-s-s-s-s-s!,A worth analogy.,bonus clip proclamation,,,,,,,,,best-of-2011-pt-2,,,best-of-2011-pt-2,3017
137.5,,1:08:35,1:08:46,b-b-b-b-b-boooooonus-s-s-s-s-s!,Bro.,bonus clip proclamation,,,,,,,,,best-of-2011-pt-2,,,best-of-2011-pt-2,3017
137.5,,1:12:28,1:12:50,b-b-b-b-b-boooooonus-s-s-s-s-s!,Bro.,bonus clip proclamation,,,,,,,,,best-of-2011-pt-2,,,best-of-2011-pt-2,3017
137.5,,29:31:00,29:35:00,b-b-b-b-b-boooooonus-s-s-s-s-s!,Following jism.,bonus clip proclamation,,,,,,,,,best-of-2011-pt-2,,,best-of-2011-pt-2,3017
137.5,,19:33,19:45,b-b-b-b-b-boooooonus-s-s-s-s-s!,Fuck #4.,bonus clip proclamation,,,,,,,,,best-of-2011-pt-2,,,best-of-2011-pt-2,3017
