show,episode,slug_earwolf,id_wikia,url_soundcloud,name,desc,elucidation,tags,tstart,tend,location_type,location_id
cbb,116,when-i-go-to-queens,2940,,Some asshole talks over the WYR theme.,Sam Darling has no respect.,,Sam Darling,46:06,46:16,,
cbb,116,when-i-go-to-queens,2940,,Someone Needs the Services of a Tear Basin,Todd Glass gets accepted for who he is.,,Marissa Wompler,37:54,38:09,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,Boo,Jacobs 'haunts' Paul F. Tompkins,Someone is confused about whether somebody else is haunting or heckling.,Andi Callahan,1:06:52,1:07:00,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,I don't know what that is.,Andi Callahan doesn't recall Save Ferris,Someone seems to not know an obvious reference. Akin to Tompkins' 'Who?',Andi Callahan,17:54,18:01,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,I don't know what that is.,Scott doesn't know 'Hooray for Hollywood',Someone seems to not know an obvious reference. Akin to Tompkins' 'Who?',Andi Callahan,17:03,17:14,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,Where are you from?,,a character detail is challenged or prompted,Werner Herzog,18:11,18:16,,
cbb,120,farts-and-procreation,2186,,"Who Am I, Again?",Jack Sjunior loses his vernacular.,,"Jack Sjunior,Bryan Spieces",25:12,25:28,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,I Have a Question.,Werner Herzog gets it right this time.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,51:49,52:00,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,I Have a Question.,Werner Herzog jumps the gun.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,51:19,51:45,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,I Have a Question.,Werner Herzog strikes the second the floor is re-opened.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,57:17,57:26,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,Scott Asks an Inappropriately Personal Question,Scott asks Amy Poehler for Rob Lowe's address.,,David Fiene,58:06,58:24,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,Shut the Fuck Up!,Poehler and The Bangles won't shut up.,Someone simply wants everyone else to shut the fuck up.,David Fiene,52:08,52:12,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,Some asshole talks over the WYR theme.,Amy Poehler is rude.,,David Fiene,52:05,52:12,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,Some asshole talks over the WYR theme.,Poehler and Fiene don't learn well.,,David Fiene,1:06:19,1:06:48,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,Some asshole talks over the WYR theme.,Scott's never had a guest so rude as Amy Poehler.,,David Fiene,1:07:04,1:07:14,,
cbb,126,suicide-is-painless,3012,,"5, 4, 3, nose, 1",Countdown to Tony Danza vs. the M*A*S*H Laugh during WYR,The CBB countdown.,Garry Marshall,1:17:18,1:17:28,,
cbb,126,suicide-is-painless,3012,,Call Me Garry.,"Scott waits a beat, but it's obvious.",Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:17:29,1:17:46,,
cbb,126,suicide-is-painless,3012,,Call Me Garry.,Garry Marshall sets himself up.,Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:27:39,1:27:50,,
cbb,126,suicide-is-painless,3012,,Call Me Garry.,Jon Hamm can use 'Garry.',Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:14:42,1:14:53,,
cbb,126,suicide-is-painless,3012,,Call Me Garry.,Scott back to 'Garry.',Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:17:10,1:17:16,,
cbb,126,suicide-is-painless,3012,,Call Me Garry.,This all started because Scott called Nick Lowe 'Mr. Lowe.',Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:03:45,1:04:14,,
cbb,126,suicide-is-painless,3012,,I Have a Question.,Garry Marshall gets the holeshot on Jon Hamm.,Someone (usually Tompkins) is out of the gate fast on WYR.,Garry Marshall,1:06:18,1:06:31,,
cbb,126,suicide-is-painless,3012,,This is Highly Unorthodox,Garry Marshall cedes to PFT.,"Somebody cedes their plug time to (usually, maybe always) Paul F. Tompkins.",Garry Marshall,1:21:32,1:22:12,,
cbb,127,national-pleasure,3014,national-pleasure,How Many are There?,"Scott challenges Nic Cage's brother, Bob, to name additional ingredients for pizza.",,Bob Cage,1:00:41,1:01:28,,
cbb,126,suicide-is-painless,3012,,This nebbish over here.,Jon Hamm kinda doubts Garry Marshall is Italian.,Garry Marshall's ethnicity is questioned.,Garry Marshall,53:39,54:13,,
cbb,128,coach-coach-coach,3020,,Scott Asks an Inappropriately Personal Question,Scott asks Jon Heder for his home address,,,4:18,4:26,,
cbb,128,coach-coach-coach,3020,,Someone Needs the Services of a Tear Basin,Jon Heder is gonna play it on the What Am I Thinking remix.,,,9:37,9:44,,
cbb,131,honorary-mayor-of-hollywood,2992,mayor-of-hollywood,"5, 4, 3, nose, 1",Jason and Scott try to guess the one thing they each dream about every night.,The CBB countdown.,Chip Gardner,1:14:39,1:14:43,,
cbb,131,honorary-mayor-of-hollywood,2992,mayor-of-hollywood,Shut the Fuck Up!,Jason and Scott need Chip to shut the fuck up for one second,Someone simply wants everyone else to shut the fuck up.,Chip Gardner,23:03,23:13,,
cbb,131,honorary-mayor-of-hollywood,2992,mayor-of-hollywood,Who?,Jason Mantzoukas doesn't know what The Rolling Stones is.,Someone (usually Tompkins) appears to not know this or that famous person.,Chip Gardner,18:19,18:35,,
cbb,132,occupy-thanksgiving,3027,occupy-thanksgiving,Classic WYR Blunder: The Floor is Not Yet Open,David Wain is eager to know if the sycamore has an IUD.,,Dov Charney,1:06:32,1:06:50,,
cbb,132,occupy-thanksgiving,3027,occupy-thanksgiving,Some asshole talks over the WYR theme.,David Wain thinks sometimes that the song is the game. He says.,,Dov Charney,1:05:00,1:05:18,,
cbb,135,scavenge-and-the-wisemen,3033,,"5, 4, 3, nose, 1",Scott counts down to CB's explanation of how he no longer loves Thanksgiving.,The CBB countdown.,Cake Boss,35:24,35:55,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,Cake Murder!,,Cake Boss,1:04:14,1:04:20,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,CB assumes 'DJ' stands for 'Disc Jockey' and is correct.,,Cake Boss,1:02:53,1:03:02,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,CB does himself.,,Cake Boss,36:12,36:26,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,CB narrates.,,Cake Boss,36:40,36:48,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,How do you like to vote?,,Cake Boss,1:11:04,1:11:10,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,CB snoozes.,,Cake Boss,45:54,46:06,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,I have a question.,,Cake Boss,1:06:09,1:06:12,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,I have a question.,,Cake Boss,1:06:09,1:06:12,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,Infinite loop.,,Cake Boss,29:04,29:27,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,I have a question.,,Cake Boss,1:08:54,1:09:03,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,Missed one.,,Cake Boss,34:29,34:40,,
cbb,135,scavenge-and-the-wisemen,3033,,Cake Boss Cake Boss? Cake Boss?,Scott needs CB's attention to ask a very important question.,,Cake Boss,35:08,35:10,,
cbb,135,scavenge-and-the-wisemen,3033,,Classic WYR Blunder: The Floor is Not Yet Open,CB calls out Erinn Hayes.,,Cake Boss,59:33,59:51,,
cbb,135,scavenge-and-the-wisemen,3033,,Marrone!,CB curses in English.,Cake Boss' favorite expletive. And/or Mark Maron reference. Often the same.,Cake Boss,41:55,42:03,,
cbb,135,scavenge-and-the-wisemen,3033,,Marrone!,CB gets aggro.,Cake Boss' favorite expletive. And/or Mark Maron reference. Often the same.,Cake Boss,41:35,41:44,,
cbb,135,scavenge-and-the-wisemen,3033,,Marrone!,CB had forgotten.,Cake Boss' favorite expletive. And/or Mark Maron reference. Often the same.,Cake Boss,29:38,29:52,,
cbb,135,scavenge-and-the-wisemen,3033,,Marrone!,I have a question.,,Cake Boss,1:04:42,1:04:45,,
cbb,135,scavenge-and-the-wisemen,3033,,Marrone!,Scott and Cake speak Italian to each other.,Cake Boss' favorite expletive. And/or Mark Maron reference. Often the same.,Cake Boss,31:43,31:55,,
cbb,135,scavenge-and-the-wisemen,3033,,My Wife!,CB won a bet with his wife about the Question Floor.,,Cake Boss,59:03,59:25,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,Foam Corner RIP.,There's not much else you can do.,The Foam Corner ends abruptly.,,20:02,20:52,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,Huh?,Ducca walks in on freestyle rap battle.,Bob Ducca's Catchphrase,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",1:34:43,1:34:48,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,Huh?,Ducca walks in on freestyle rap battle.,Bob Ducca's Catchphrase,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",1:39:00,1:39:05,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,Huh?,Ducca wishes he had a catchphrase.,Bob Ducca's Catchphrase,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",1:42:00,1:42:19,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,Huh?,What happened to Ducca's back?,Bob Ducca's Catchphrase,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca",1:43:58,1:44:09,,
cbb,136,2011-holiday-spectacular,3034,2011-holiday-spectacular,M*A*S*H,9/11 got a better rating than M.A.S.H.,MASH is cited as a notable tv event.,"Bill Cosby Bukowski,Andrew Lloyd Weber,El Chupacabra,Bob Ducca,Jesse Ventura",1:49:10,1:49:15,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,"5, 4, 3, nose, 1","On Thursday, this is how they'll probably count down.",The CBB countdown.,,2:05:42,2:05:58,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,"5, 4, 3, nose, 1",Scott and PFT try to simultaneously wish for something.,The CBB countdown.,,2:03:34,2:03:49,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,By Mennen.,Best of 2011 countdown bumpers are replaced.,"For some reason, the Mennen jingle is referenced.",,36:10,36:18,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,By Mennen.,Jitterbug piece of shit. By Mennen.,"For some reason, the Mennen jingle is referenced.",,2:04:12,2:04:26,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,By Mennen.,Now the Bonus Clip tag.,"For some reason, the Mennen jingle is referenced.",,1:34:44,1:34:49,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,By Mennen.,White Rabbit's coda.,"For some reason, the Mennen jingle is referenced.",,8:00,8:05,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,The Biggest Creep in the World,By popular demand -- Beatles characters.,John Lennon impressions,,35:22,35:40,,
cbb,137,best-of-2011-pt-1,3016,best-of-2011-pt-1,The Biggest Creep in the World,John Lennon lingers in-studio.,John Lennon impressions,,37:26,37:32,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,A worth analogy.,,,50:13,50:17,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,Bro.,,,1:08:35,1:08:46,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,Bro.,,,1:12:28,1:12:50,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,Following jism.,,,29:31,29:35,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,Fuck #4.,,,19:33,19:45,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,B-b-b-b-b-boooooonus-s-s-s-s-s!,Two hours of gold.,,,46:53,47:01,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,By Mennen.,I love you inside me.,"For some reason, the Mennen jingle is referenced.",,51:38,51:52,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,My wife!,Borat Carson.,,,51:52,52:10,,
cbb,137.5,best-of-2011-pt-2,3017,best-of-2011-pt-2,My wife!,Internet Borat.,,,52:09,52:26,,
cbb,138,ghost-protocol,3036,ghost-protocol,Doppler Effect,It's 2012.,,Werner Herzog,0:0:52,0:1:06,,
cbb,138,ghost-protocol,3036,ghost-protocol,My wife!,Carson Borat,,Werner Herzog,31:14,31:25,,
cbb,138,ghost-protocol,3036,ghost-protocol,How you weigh?,What is Andy's ideal weight?,,,7:18,7:26,,
cbb,139,win-a-farmhouse,2096,,My wife!,Ins and outs and intricacies of podcasts.,,Paul Luzak,26:33,26:56,,
cbb,138,ghost-protocol,3036,ghost-protocol,The Biggest Creep in the World,The song he sang outside of the Dakota.,John Lennon impressions,"Werner Herzog,John Lennon,The Beatles",26:22,26:39,,
cbb,14,an-old-fashioned-dinner,2440,,Where are you from?,"Danny Mahoney, already weary of Scott's interest in the details of his tale, sarcastically asks if Scott would like to know how he returned from the beach following a suicide attempt.",a character detail is challenged or prompted,Danny Mahoney,22:40,23:06,,
cbb,14,an-old-fashioned-dinner,2440,,Where are you from?,Danny Mahoney is surprised to hear that Scott is interested in the origin of his suicide coat.,a character detail is challenged or prompted,Danny Mahoney,19:27,20:24,,
cbb,14,an-old-fashioned-dinner,2440,,Where are you from?,Danny Mahoney nearly regrets agreeing to role-play a challenging party solution when the others all launch into their paintaking character constructions.,a character detail is challenged or prompted,Ricky,28:42,29:15,,
cbb,14,an-old-fashioned-dinner,2440,,Where are you from?,Danny Mahoney's heavy coat reappears as the weapon of choice for Creepy Uncle's (Samberg) suicide attempt.,a character detail is challenged or prompted,Creepy Uncle,24:09,24:49,,
cbb,14,an-old-fashioned-dinner,2440,,an Andy Daly character commits or attempts to commit suicide,"Danny Mahoney reveals that, following the hostile takeover of his plumbing business, he was despondent and tried to commit suicide by first obtaining and then wearing a heavy coat into the ocean.",,Danny Mahoney,19:21,19:50,,
cbb,14,an-old-fashioned-dinner,2440,,Can I Be a Rapist?,Danny Mahoney get frustrated that everybody is laboring over their character backstories.,character backstories are established through pain,"Creepy Uncle, Danny Mahoney",24:33,25:15,,
cbb,14,an-old-fashioned-dinner,2440,,guest performs before they're announced,Andy Daly unapologetically opines about his own future announced arrival.,,,4:58,5:20,,
cbb,14,an-old-fashioned-dinner,2440,,guest performs before they're announced,Scott is audibly exasperated when Zach inserts himself into the conversation.,,,3:29,3:46,,
cbb,14,an-old-fashioned-dinner,2440,,Scott Does Math,Scott calculates the length of Samberg's SNL tenure.,,Ricky's friend,56:02,56:27,,
cbb,14,an-old-fashioned-dinner,2440,,Someone Has to be Forced Into Their Bit,Scott's hints to Danny Mahoney (Daly) are failing.,,Danny Mahoney,27:55,28:15,,
cbb,141,ladies-night,3040,ladies-night,CBB's Open Door Policy,The show is adrift.,,"Ronna Glickman, Beverly Kahn-Ginsberg",22:03,22:17,,
cbb,143,grammy-spectacular,3051,grammy-spectacular,Scott Asks an Inappropriately Personal Question,Scott asks Todd Glass where he lives.,,,27:05,27:21,,
cbb,143,grammy-spectacular,3051,grammy-spectacular,That Already Happened,Todd Glass asks why we're saying it's February.,The verisimilitude of the show is referenced or challenged or completely destroyed.,,5:02,5:32,,
cbb,143,grammy-spectacular,3051,grammy-spectacular,That Already Happened,Weird Al blows open the truth about what day it is.,The verisimilitude of the show is referenced or challenged or completely destroyed.,,1:39,1:52,,
cbb,143,grammy-spectacular,3051,grammy-spectacular,Who?,Liza doesn't know who Pol Pot is.,Someone (usually Tompkins) appears to not know this or that famous person.,Liza Minnelli,53:36,53:48,,
cbb,144,clones-and-oliver-stones,3053,,My wife!,,,"Steven Spielberg,Mark Hamill",52:37,52:45,,
cbb,145,a-family-affair,3055,a-family-affair,My wife!,Borat citation.,,,11:34,11:39,,
cbb,146,climbing-the-ladder,2216,climbing-the-ladder,By Mennen.,Break me off a piece of that Kit Kat bar.,"For some reason, the Mennen jingle is referenced.",Bjork,41:41,41:54,,
cbb,146,climbing-the-ladder,2216,climbing-the-ladder,By Mennen.,Harmonized.,"For some reason, the Mennen jingle is referenced.",Bjork,43:36,43:46,,
cbb,147,raisin-norman-bates,2067,raisin-norman-bates,CBB's Open Door Policy,"Scott explains why Ice T and Jesse The Mind, Body, and Eternal Spirit of Karma Ventura are here.",,"Ice T, Jesse Ventura",19:22,19:34,,
