show,episode,slug_earwolf,id_wikia,url_soundcloud,created_at,updated_at,soclo_link,name,desc,elucidation,tags,tstart,tend,holding,scope,location_type,location_id
cbb,10,comedy-vs-music,2377,comedy-vs-music,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-vs-music/#t=19:03,how many are there?,Morgan Murphy prompts Richard Leslie for additional imitators of his dog bakery business.,a pimping subclass: somebody asks for a list of things or prompts for additional items,Richard Leslie,19:03,19:30,false,,,
cbb,100,the-big-one-oh-oh,2849,the-big-one-oh-oh,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-big-one-oh-oh/#t=16:19,heroin,Huebel again explains why the members of Human Giant are indisposed,someone becomes addicted to heroin,Human Giant,16:19,16:52,false,,,
cbb,100,the-big-one-oh-oh,2849,the-big-one-oh-oh,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-big-one-oh-oh/#t=11:56,Batdance,"a beautiful, haunting melody","Scott cites, explains, or defends his favorite song",Prince,12:22,12:37,false,,,
cbb,101,booked-it,2888,booked-it,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/booked-it/#t=46:56,Amy Poehler is rude,Casey Wilson hums along.,some asshole talks over the wyr theme.,Fred Phelps,46:56,47:03,false,,,
cbb,101,booked-it,2888,booked-it,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/booked-it/#t=46:34,Amy Poehler is rude,Casey Wilson seems to think the WYR theme is long.,some asshole talks over the wyr theme.,Fred Phelps,46:34,46:46,false,,,
cbb,101,booked-it,2888,booked-it,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/booked-it/#t=1:05:50,Amy Poehler is rude,Now *nobody* will shut the fuck up.,some asshole talks over the wyr theme.,Fred Phelps,1:05:50,1:06:24,false,,,
cbb,101,booked-it,2888,booked-it,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/booked-it/#t=46:46,Amy Poehler is rude,somebody coughs,some asshole talks over the wyr theme.,Fred Phelps,46:46,46:56,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=41:00,"yes, and...","Clive Dundee, strangely, has not written songs of his own.","the rule of 'yes, and' is invoked or abused",Clive Dundee,41:00,41:26,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=41:55,where are you from?,"Tompkins suggests everybody, not just Clive, relay how they got their last name.",a character detail is challenged or prompted,Clive Dundee,41:55,42:14,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=40:35,where are you from?,Clive Dundee finally remembers the year of his birth.,a character detail is challenged or prompted,Clive Dundee,40:35,40:50,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=31:00,where are you from?,Clive Dundee isn't sure if he says 'dinner' or 'supper.',a character detail is challenged or prompted,Clive Dundee,31:00,31:25,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=37:25,where are you from?,Clive Dundee needs to confirm the questions he's asked.,a character detail is challenged or prompted,Clive Dundee,37:25,37:35,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=37:35,where are you from?,Paul asks Clive Dundee in what year he received his driver's license.,a character detail is challenged or prompted,Clive Dundee,37:35,37:42,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=54:52,where are you from?,Paul notices that Truck Bastien is never sure if he's being spoken to.,a character detail is challenged or prompted,Truck Bastien,54:52,55:11,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=54:32,where are you from?,Scott and Paul interrogate Truck Bastien.,a character detail is challenged or prompted,Truck Bastien,54:32,54:53,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=37:42,where are you from?,Scott asks Clive Dundee for his astrological sign.,a character detail is challenged or prompted,Clive Dundee,37:42,37:59,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=36:41,where are you from?,Scott asks Clive Dundee how old he is.,a character detail is challenged or prompted,Clive Dundee,36:41,37:34,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=1:52:19,James?,James?,a character is accidentally addressed using the name of its player,Huell Howser,1:52:19,1:52:43,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=50:02,the CBB ODP,Paul has to remind Scott that the CBBODP should extend to Truck Bastien also.,CBB's Open Door Policy is cited or blamed,Truck Bastien,50:02,50:21,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=52:51,shut the fuck up!,Scott is growing weary of Truck Bastien's aphorisms.,Someone simply wants everyone else to shut the fuck up.,Truck Bastien,52:51,52:59,false,,,
cbb,103,these-times-they-are-a-changin,2115,these-times-they-are-a-changin,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/these-times-they-are-a-changin/#t=52:33,that already happened,Tompkins directly references an attempt to live-edit the show,The verisimilitude of the show is referenced or challenged or completely destroyed.,Truck Bastien,52:33,52:52,false,,,
cbb,104,shut-up-dracula,2892,shut-up-dracula,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/shut-up-dracula/#t=54:40,Amy Poehler is rude,Even the esteemed Paul Feig won't shut up and show some respect.,some asshole talks over the wyr theme.,,54:40,54:58,false,,,
cbb,105,comedy-is-honey,2929,comedy-is-honey,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/comedy-is-honey/#t=1:30:45,the most popular feature of CBB,Sappity doesn't believe.,Consistently the most popular feature of CBB.,Sappity Tappity,1:30:45,1:31:03,false,,,
cbb,106.1,its-a-fucking-podcast-pt-1,2931,its-a-fucking-podcast-pt-1,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/its-a-fucking-podcast-pt-1/#t=24:02,how many are there?,"Give us a couple, though.",a pimping subclass: somebody asks for a list of things or prompts for additional items,Cake Boss,24:02,24:42,false,,,
cbb,106.1,its-a-fucking-podcast-pt-1,2931,its-a-fucking-podcast-pt-1,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/its-a-fucking-podcast-pt-1/#t=46:11,Who Said It: Michael Jackson,Hee-hee. Shamone. Where's Lisa Marie? Dah! Where 'dem elephant bones? Where's Macaulay? Dah! Shamone. Hoo. Where my glove? Hoo.,A Michael Jackson quote appears in a game of 'Who Said It?',Cake Boss,46:11,46:59,false,,,
cbb,108,pussy-cpr,2944,pussy-cpr,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/pussy-cpr/#t=1:02:49,the most popular feature of CBB,"no stats, but Scott believes it",Consistently the most popular feature of CBB.,Dov Charney,1:02:49,1:03:01,false,,,
cbb,109,the-andy-samberg-special,2952,the-andy-samberg-special,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-andy-samberg-special/#t=58:47,classic WYR blunder: premature election,Andy and Bro both get dangerously close.,one of several potential WYR blunders,Bro,58:47,59:10,false,,,
cbb,109,the-andy-samberg-special,2952,the-andy-samberg-special,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-andy-samberg-special/#t=31:42,i can hear every word you are saying,Bro overhears Scott and Andy.,"despite everybody's best efforts, a private conversation is overheard",Bro,31:42,32:23,false,,,
cbb,11,birthday-checks,2425,birthday-checks,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/birthday-checks/#t=48:49,Osama bin Laden's in the zeitgeist,Rob Huebel's aggression reminds Scott of Officer Dick Butterfield (Huebel).,"Somebody's characters cross-pollinate, curiously share characteristics.",Officer Dick Butterfield,48:49,49:07,false,,,
cbb,11,birthday-checks,2425,birthday-checks,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/birthday-checks/#t=55:54,bet me a frapp,Doug Benson can't seem to remember something.,someone has to be forced into their bit,,55:54,56:28,false,,,
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=20:02,Location,Danny Mahoney walked into Nordstrom and asked for their heaviest coat,Identifiable earth location.,Danny Mahoney,20:02,20:40,false,,point,17
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=49:18,Location,Comedian Shooter fires off a local reference - La Brea onto Franklin Av,Identifiable earth location.,Shooter,49:18,49:43,false,,point,18
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=50:17,Location,Comedian Shooter fires off a local reference - beautiful ladies at The Grove,Identifiable earth location.,Shooter,50:17,50:33,false,,point,13
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=50:40,Location,Comedian Shooter fires off a local reference - the girl in the glass display case at The Standard hotel,Identifiable earth location.,Shooter,50:40,51:10,false,,point,20
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=51:31,Location,Comedian Shooter fires off a local reference - Shooter's place smelled like Runyan Canyon when he returned from vacation,Identifiable earth location.,Shooter,51:31,51:51,false,,point,22
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=51:31,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,Shooter,51:31,51:56,false,,point,23
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=51:31,Location,Comedian Shooter fires off a local reference - Shooter's place smelled so bad it made the Hollywood Public Library smell like an aromatherapy session at Burke Williams,Identifiable earth location.,Shooter,51:31,51:56,false,,point,24
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=52:08,Location,Comedian Shooter fires off a local reference - asked a French guy how to say 'shitty service' in French.,Identifiable earth location.,Shooter,52:08,53:04,false,,point,25
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=51:31,Location,Comedian Shooter vacations in San Diego,Identifiable earth location.,Shooter,51:31,51:38,false,,poly,63
cbb,14,an-old-fashioned-dinner,2440,an-old-fashioned-dinner,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/an-old-fashioned-dinner/#t=9:53,boo,Andy Daly is neither host nor guest. Ghost.,Someone is confused about whether somebody else is haunting or heckling.,,9:53,10:54,false,,,
cbb,13,jimmy-pardos-back,2439,jimmy-pardos-back,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/jimmy-pardos-back/#t=40:39,Ice T has a cold,"Ice T maybe has a cold, actually.",somebody gets emotional,Ice T,40:39,41:26,false,,,
cbb,11,birthday-checks,2425,birthday-checks,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/birthday-checks/#t=37:57,Weirder Scott,Scott describes his coup of Weird Al Yankovic.,Scott's pop parodist alter ego,,37:57,38:12,false,,,
cbb,113,skanking-hayride,2985,skanking-hayride,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/skanking-hayride/#t=57:07,how many are there?,Old ska bands.,a pimping subclass: somebody asks for a list of things or prompts for additional items,Ozzie Patinkin,57:07,57:51,false,,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-plug-in-drug/#t=51:12,classic WYR blunder: the floor is not yet open,David Wain jumps the start.,one of several potential WYR blunders,,51:12,51:37,false,,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-plug-in-drug/#t=25:12,my wife!,Respectfully.,Scott has a Borat.,,25:12,25:15,false,,,
cbb,115,the-plug-in-drug,2989,the-plug-in-drug,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/the-plug-in-drug/#t=49:40,awesome and holy traitors to you,A fountain is not dripping.,someone needs the services of a tear basin,,49:40,49:54,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=55:16,where are you from?,Scott wants to know what year Wompler's mom was born.,a character detail is challenged or prompted,Marissa Wompler,55:16,55:21,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=1:09:27,classic WYR blunder: premature election,Wompler should know better.,one of several potential WYR blunders,Marissa Wompler,1:09:27,1:09:38,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=45:53,Amy Poehler is rude,Cross is rude.,some asshole talks over the wyr theme.,Sam Darling,45:53,46:03,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=45:45,Amy Poehler is rude,FLeischer is rude.,some asshole talks over the wyr theme.,Sam Darling,45:45,45:50,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=46:06,Amy Poehler is rude,Sam Darling has no respect.,some asshole talks over the wyr theme.,Sam Darling,46:06,46:16,false,,,
cbb,116,when-i-go-to-queens,2940,when-i-go-to-queens,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/when-i-go-to-queens/#t=37:54,awesome and holy traitors to you,Todd Glass gets accepted for who he is.,someone needs the services of a tear basin,Marissa Wompler,37:54,38:09,false,,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/andi-callahan-rn/#t=1:06:52,boo,Jacobs 'haunts' Paul F. Tompkins,Someone is confused about whether somebody else is haunting or heckling.,Andi Callahan,1:06:52,1:07:00,false,,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/andi-callahan-rn/#t=17:54,who?,Andi Callahan doesn't recall Save Ferris,Someone seems to not know an obvious reference or a very famous person.,Andi Callahan,17:54,18:01,false,,,
cbb,119,andi-callahan-rn,2999,andi-callahan-rn,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/andi-callahan-rn/#t=17:03,who?,Scott doesn't know 'Hooray for Hollywood',Someone seems to not know an obvious reference or a very famous person.,Andi Callahan,17:03,17:14,false,,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/shanghaied-by-irene/#t=18:11,who?,Warner Herzog doesn't (but does) know who Zach Galifianakis is.,Someone seems to not know an obvious reference or a very famous person.,Werner Herzog,18:33,18:37,false,,,
cbb,120,farts-and-procreation,2186,farts-and-procreation,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/farts-and-procreation/#t=25:12,who am i?,Jack Sjunior loses his vernacular.,a character loses him/herself,"Jack Sjunior,Bryan Spieces",25:12,25:28,false,,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/shanghaied-by-irene/#t=51:49,i have a question,Werner Herzog gets it right this time.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,51:49,52:00,false,,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/shanghaied-by-irene/#t=51:19,i have a question,Werner Herzog jumps the gun.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,51:19,51:45,false,,,
cbb,122,shanghaied-by-irene,3003,shanghaied-by-irene,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/shanghaied-by-irene/#t=57:17,i have a question,Werner Herzog strikes the second the floor is re-opened.,Someone (usually Tompkins) is out of the gate fast on WYR.,Werner Herzog,57:17,57:26,false,,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/no-scoop-for-you/#t=58:06,how much money do you make?,Scott asks Amy Poehler for Rob Lowe's address.,Scott asks an inappropriately personal question.,David Fiene,58:06,58:24,false,,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/no-scoop-for-you/#t=52:08,shut the fuck up!,Poehler and The Bangles won't shut up.,Someone simply wants everyone else to shut the fuck up.,David Fiene,52:08,52:12,false,,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/no-scoop-for-you/#t=52:05,Amy Poehler is rude,Amy Poehler is rude.,some asshole talks over the wyr theme.,David Fiene,52:05,52:12,false,,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/no-scoop-for-you/#t=1:06:19,Amy Poehler is rude,Poehler and Fiene don't learn well.,some asshole talks over the wyr theme.,David Fiene,1:06:19,1:06:48,false,,,
cbb,123,no-scoop-for-you,3006,no-scoop-for-you,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/no-scoop-for-you/#t=1:07:04,Amy Poehler is rude,Scott's never had a guest so rude as Amy Poehler.,some asshole talks over the wyr theme.,David Fiene,1:07:04,1:07:14,false,,,
cbb,126,suicide-is-painless,3012,suicide-is-painless,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/suicide-is-painless/#t=1:17:18,"5, 4, 3, nose, 1",Countdown to Tony Danza vs. the M*A*S*H Laugh during WYR,the CBB countdown,Garry Marshall,1:17:18,1:17:28,false,,,
cbb,126,suicide-is-painless,3012,suicide-is-painless,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/suicide-is-painless/#t=1:17:29,please call me Garry,"Scott waits a beat, but it's obvious.",Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:17:29,1:17:46,false,,,
cbb,126,suicide-is-painless,3012,suicide-is-painless,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/suicide-is-painless/#t=1:27:39,please call me Garry,Garry Marshall sets himself up.,Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:27:39,1:27:50,false,,,
cbb,126,suicide-is-painless,3012,suicide-is-painless,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/suicide-is-painless/#t=1:14:42,please call me Garry,Jon Hamm can use 'Garry.',Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:14:42,1:14:53,false,,,
cbb,126,suicide-is-painless,3012,suicide-is-painless,2015-04-03T10:51:29Z,2015-06-03T10:51:29Z,http://soundcloud.com/comedybangbang/suicide-is-painless/#t=1:17:10,please call me Garry,Scott back to 'Garry.',Garry Marshall demands respect (or bestows familiarity).,Garry Marshall,1:17:10,1:17:16,false,,,
